ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000031.SZ,20230915,3.85,3.91,3.81,3.82,3.84,-0.020000000000000018,-0.5208,188835.81,72697.497
000031.SZ,20230914,3.82,3.87,3.8,3.84,3.82,0.020000000000000018,0.5236,143252.2,54935.704
000031.SZ,20230913,3.85,3.89,3.81,3.82,3.84,-0.020000000000000018,-0.5208,104949.44,40315.629
000031.SZ,20230912,3.86,3.88,3.81,3.84,3.85,-0.010000000000000231,-0.2597,112896.0,43343.885
000031.SZ,20230911,3.87,3.91,3.81,3.85,3.85,0.0,0.0,143286.58,55159.773
000031.SZ,20230908,3.86,3.89,3.8,3.85,3.85,0.0,0.0,112433.2,43115.024
000031.SZ,20230907,3.89,3.95,3.84,3.85,3.89,-0.040000000000000036,-1.0283,154214.0,60178.802
000031.SZ,20230906,3.84,3.92,3.78,3.89,3.81,0.08000000000000007,2.0997,173267.23,66900.12
000031.SZ,20230905,3.94,3.95,3.8,3.81,3.93,-0.1200000000000001,-3.0534,191022.01,73337.112
000031.SZ,20230904,3.91,4.01,3.91,3.93,3.9,0.03000000000000025,0.7692,216711.18,85741.429
000031.SZ,20230901,3.97,4.04,3.88,3.9,3.91,-0.010000000000000231,-0.2558,217385.19,85827.4
000031.SZ,20230831,4.2,4.21,3.9,3.91,4.2,-0.29000000000000004,-6.9048,289869.17,115871.189
000031.SZ,20230830,4.3,4.31,4.18,4.2,4.3,-0.09999999999999964,-2.3256,240477.01,101676.393
000031.SZ,20230829,4.24,4.34,4.2,4.3,4.26,0.040000000000000036,0.939,235415.99,100627.95
000031.SZ,20230828,4.38,4.39,4.21,4.26,4.08,0.17999999999999972,4.4118,271343.29,116559.98
000031.SZ,20230825,4.08,4.15,4.04,4.08,4.04,0.040000000000000036,0.9901,134986.01,55193.612
000031.SZ,20230824,4.09,4.12,4.01,4.04,4.09,-0.04999999999999982,-1.2225,131734.19,53483.968
000031.SZ,20230823,4.15,4.18,4.07,4.09,4.16,-0.07000000000000028,-1.6827,122445.2,50457.6
000031.SZ,20230822,4.15,4.2,4.11,4.16,4.14,0.020000000000000462,0.4831,172260.01,71636.384
000031.SZ,20230821,4.2,4.26,4.12,4.14,4.22,-0.08000000000000007,-1.8957,143744.0,60145.596
000031.SZ,20230818,4.27,4.37,4.21,4.22,4.29,-0.07000000000000028,-1.6317,156639.95,66943.126
000031.SZ,20230817,4.29,4.33,4.21,4.29,4.31,-0.019999999999999574,-0.464,143931.3,61373.819
000031.SZ,20230816,4.26,4.39,4.2,4.31,4.27,0.040000000000000036,0.9368,168120.15,72291.034
000031.SZ,20230815,4.28,4.31,4.22,4.27,4.28,-0.010000000000000675,-0.2336,141143.0,60142.322
000031.SZ,20230814,4.26,4.31,4.19,4.28,4.32,-0.040000000000000036,-0.9259,158834.15,67659.033
000031.SZ,20230811,4.38,4.44,4.3,4.32,4.34,-0.019999999999999574,-0.4608,161318.0,70104.844
000031.SZ,20230810,4.34,4.41,4.3,4.34,4.33,0.009999999999999787,0.2309,150394.0,65315.771
000031.SZ,20230809,4.37,4.42,4.31,4.33,4.37,-0.040000000000000036,-0.9153,155627.81,67735.08
