ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000009.SZ,20230915,10.41,10.47,10.27,10.37,10.34,0.02999999999999936,0.2901,84514.72,87673.885
000009.SZ,20230914,10.41,10.44,10.31,10.34,10.39,-0.05000000000000071,-0.4812,70073.4,72474.494
000009.SZ,20230913,10.59,10.61,10.36,10.39,10.59,-0.1999999999999993,-1.8886,91201.89,95235.317
000009.SZ,20230912,10.58,10.7,10.53,10.59,10.58,0.009999999999999787,0.0945,75071.39,79627.7
000009.SZ,20230911,10.52,10.65,10.52,10.58,10.51,0.07000000000000028,0.666,96678.6,102257.717
000009.SZ,20230908,10.65,10.68,10.48,10.51,10.62,-0.10999999999999943,-1.0358,73961.48,77926.409
000009.SZ,20230907,10.78,10.81,10.61,10.62,10.82,-0.20000000000000107,-1.8484,86265.04,92106.205
000009.SZ,20230906,10.77,10.85,10.67,10.82,10.81,0.009999999999999787,0.0925,88991.32,95694.128
000009.SZ,20230905,10.88,10.92,10.77,10.81,10.89,-0.08000000000000007,-0.7346,85844.22,92839.715
000009.SZ,20230904,10.64,10.93,10.64,10.89,10.61,0.28000000000000114,2.639,157355.77,170563.123
000009.SZ,20230901,10.67,10.74,10.58,10.61,10.66,-0.05000000000000071,-0.469,103878.62,110485.001
000009.SZ,20230831,10.82,10.86,10.59,10.66,10.81,-0.15000000000000036,-1.3876,142576.51,152010.778
000009.SZ,20230830,10.59,11.1,10.55,10.81,10.54,0.27000000000000135,2.5617,297086.33,322719.339
000009.SZ,20230829,10.19,10.57,10.18,10.54,10.21,0.3299999999999983,3.2321,208881.87,218063.385
000009.SZ,20230828,10.6,10.63,10.18,10.21,10.09,0.120000000000001,1.1893,203284.7,211285.85
000009.SZ,20230825,10.21,10.33,10.07,10.09,10.26,-0.16999999999999993,-1.6569,126182.92,128419.236
000009.SZ,20230824,10.27,10.38,10.1,10.26,10.27,-0.009999999999999787,-0.0974,107533.44,110315.08
000009.SZ,20230823,10.6,10.6,10.25,10.27,10.6,-0.33000000000000007,-3.1132,117341.62,121800.801
000009.SZ,20230822,10.67,10.77,10.48,10.6,10.68,-0.08000000000000007,-0.7491,131149.49,138717.792
000009.SZ,20230821,10.64,10.85,10.6,10.68,10.71,-0.030000000000001137,-0.2801,108680.09,116819.809
000009.SZ,20230818,10.85,10.94,10.7,10.71,10.86,-0.14999999999999858,-1.3812,79811.74,86355.389
000009.SZ,20230817,10.82,10.9,10.71,10.86,10.82,0.03999999999999915,0.3697,88438.94,95704.356
000009.SZ,20230816,10.9,10.98,10.81,10.82,10.88,-0.0600000000000005,-0.5515,63896.56,69480.906
000009.SZ,20230815,11.03,11.07,10.85,10.88,11.01,-0.129999999999999,-1.1807,92232.81,100592.252
000009.SZ,20230814,10.91,11.03,10.75,11.01,10.96,0.049999999999998934,0.4562,101712.48,110865.247
000009.SZ,20230811,11.19,11.21,10.96,10.96,11.19,-0.22999999999999865,-2.0554,118462.95,130903.554
000009.SZ,20230810,11.13,11.24,11.11,11.19,11.14,0.049999999999998934,0.4488,53432.11,59752.579
000009.SZ,20230809,11.15,11.2,11.1,11.14,11.15,-0.009999999999999787,-0.0897,84116.07,93696.898
000009.SZ,20230808,11.22,11.27,11.1,11.15,11.25,-0.09999999999999964,-0.8889,143534.02,160272.198
000009.SZ,20230807,11.45,11.5,11.18,11.25,11.49,-0.2400000000000002,-2.0888,178220.84,200963.477
000009.SZ,20230804,11.45,11.64,11.43,11.49,11.39,0.09999999999999964,0.878,138119.84,158802.369
000009.SZ,20230803,11.35,11.44,11.31,11.39,11.38,0.009999999999999787,0.0879,85364.42,97168.798
000009.SZ,20230802,11.3999,11.4997,11.3301,11.38,11.3501,0.02990000000000137,0.2634,93948.6,107391.817
000009.SZ,20230801,11.4697,11.4897,11.2703,11.3501,11.4897,-0.13959999999999972,-1.215,209071.59,238076.378
000009.SZ,20230731,11.6792,11.769,11.4199,11.4897,11.5994,-0.10970000000000013,-0.9457,288372.49,333411.527
000009.SZ,20230728,11.4897,11.6393,11.3501,11.5994,11.4697,0.1296999999999997,1.1308,117792.95,136299.305
000009.SZ,20230727,11.5296,11.5994,11.4398,11.4697,11.5196,-0.049900000000000944,-0.4332,71378.9,82494.987
