ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000042.SZ,20230915,7.24,7.27,7.06,7.15,7.2,-0.04999999999999982,-0.6944,63916.76,45743.637
000042.SZ,20230914,7.27,7.3,7.18,7.2,7.27,-0.0699999999999994,-0.9629,35393.73,25588.83
000042.SZ,20230913,7.23,7.32,7.21,7.27,7.26,0.009999999999999787,0.1377,27622.44,20062.448
000042.SZ,20230912,7.22,7.27,7.18,7.26,7.23,0.02999999999999936,0.4149,19288.44,13942.804
000042.SZ,20230911,7.2,7.25,7.09,7.23,7.18,0.05000000000000071,0.6964,32959.15,23676.807
000042.SZ,20230908,7.2,7.28,7.15,7.18,7.24,-0.0600000000000005,-0.8287,29730.34,21372.639
000042.SZ,20230907,7.34,7.43,7.21,7.24,7.35,-0.10999999999999943,-1.4966,42862.0,31405.461
000042.SZ,20230906,7.2,7.45,7.13,7.35,7.21,0.13999999999999968,1.9417,65648.42,47709.248
000042.SZ,20230905,7.46,7.49,7.2,7.21,7.47,-0.2599999999999998,-3.4806,66756.0,48594.563
000042.SZ,20230904,7.44,7.6,7.42,7.47,7.38,0.08999999999999986,1.2195,63233.88,47487.951
000042.SZ,20230901,7.48,7.58,7.35,7.38,7.4,-0.020000000000000462,-0.2703,53535.0,39824.53
000042.SZ,20230831,7.98,8.0,7.37,7.4,7.99,-0.5899999999999999,-7.3842,117377.0,88681.785
000042.SZ,20230830,8.18,8.18,7.96,7.99,8.2,-0.20999999999999908,-2.561,67235.0,54049.158
000042.SZ,20230829,7.85,8.2,7.78,8.2,7.87,0.3299999999999992,4.1931,111785.68,89784.863
000042.SZ,20230828,7.85,8.04,7.78,7.87,7.47,0.40000000000000036,5.3548,86212.0,68453.11
000042.SZ,20230825,7.47,7.61,7.42,7.47,7.45,0.019999999999999574,0.2685,33428.0,25139.512
000042.SZ,20230824,7.59,7.68,7.44,7.45,7.6,-0.14999999999999947,-1.9737,31684.39,23842.249
000042.SZ,20230823,7.72,7.77,7.58,7.6,7.77,-0.16999999999999993,-2.1879,29828.04,22825.164
000042.SZ,20230822,7.84,7.92,7.66,7.77,7.82,-0.05000000000000071,-0.6394,44777.25,34716.705
000042.SZ,20230821,7.96,8.05,7.81,7.82,7.99,-0.16999999999999993,-2.1277,53782.48,42573.088
000042.SZ,20230818,8.3,8.33,7.97,7.99,8.28,-0.28999999999999915,-3.5024,49534.0,40140.239
000042.SZ,20230817,8.29,8.31,8.12,8.28,8.34,-0.0600000000000005,-0.7194,47320.53,38934.963
000042.SZ,20230816,8.18,8.47,8.07,8.34,8.16,0.17999999999999972,2.2059,55212.62,45863.027
000042.SZ,20230815,8.19,8.25,8.09,8.16,8.22,-0.0600000000000005,-0.7299,36399.78,29653.281
000042.SZ,20230814,8.15,8.28,7.86,8.22,8.25,-0.02999999999999936,-0.3636,61199.54,49895.256
000042.SZ,20230811,8.35,8.63,8.23,8.25,8.31,-0.0600000000000005,-0.722,73436.54,61316.852
000042.SZ,20230810,8.29,8.39,8.23,8.31,8.28,0.030000000000001137,0.3623,41009.12,34057.187
000042.SZ,20230809,8.32,8.37,8.22,8.28,8.29,-0.009999999999999787,-0.1206,38073.0,31549.971
000042.SZ,20230808,8.38,8.46,8.26,8.29,8.38,-0.09000000000000163,-1.074,39627.82,32969.402
000042.SZ,20230807,8.49,8.49,8.31,8.38,8.52,-0.1399999999999988,-1.6432,54275.61,45492.405
000042.SZ,20230804,8.67,8.67,8.49,8.52,8.62,-0.09999999999999964,-1.1601,51518.4,44148.354
000042.SZ,20230803,8.52,8.66,8.3,8.62,8.52,0.09999999999999964,1.1737,78469.4,66903.5
000042.SZ,20230802,8.36,8.67,8.29,8.52,8.46,0.05999999999999872,0.7092,72811.19,62003.713
000042.SZ,20230801,8.48,8.57,8.39,8.46,8.5,-0.03999999999999915,-0.4706,61626.81,52259.267
000042.SZ,20230731,8.33,8.58,8.3,8.5,8.26,0.2400000000000002,2.9056,92368.53,78490.117
000042.SZ,20230728,8.17,8.36,8.15,8.26,8.17,0.08999999999999986,1.1016,62565.37,51607.715
000042.SZ,20230727,8.11,8.29,7.97,8.17,8.23,-0.0600000000000005,-0.729,93744.66,76861.67
000042.SZ,20230726,8.08,8.25,8.01,8.23,8.08,0.15000000000000036,1.8564,93752.47,76581.242
000042.SZ,20230725,7.87,8.1,7.87,8.08,7.8,0.28000000000000025,3.5897,75446.16,60514.035
000042.SZ,20230724,7.89,7.89,7.68,7.8,7.81,-0.009999999999999787,-0.128,68361.82,53094.579
000042.SZ,20230721,7.76,7.91,7.68,7.81,7.72,0.08999999999999986,1.1658,60001.5,46861.684
000042.SZ,20230720,7.73,7.81,7.69,7.72,7.71,0.009999999999999787,0.1297,43759.05,33956.929
000042.SZ,20230719,7.54,7.73,7.53,7.71,7.54,0.16999999999999993,2.2546,36434.05,27944.028
000042.SZ,20230718,7.52,7.61,7.44,7.54,7.5,0.040000000000000036,0.5333,20944.47,15769.403
000042.SZ,20230717,7.54,7.54,7.38,7.5,7.65,-0.15000000000000036,-1.9608,47681.76,35552.156
000042.SZ,20230714,7.61,7.75,7.59,7.65,7.61,0.040000000000000036,0.5256,29083.0,22324.676
000042.SZ,20230713,7.52,7.66,7.5,7.61,7.5,0.11000000000000032,1.4667,22385.68,17004.925
000042.SZ,20230712,7.63,7.63,7.5,7.5,7.63,-0.1299999999999999,-1.7038,25689.67,19394.878
000042.SZ,20230711,7.71,7.75,7.61,7.63,7.63,0.0,0.0,23858.67,18277.525
000042.SZ,20230710,7.71,7.74,7.6,7.63,7.71,-0.08000000000000007,-1.0376,20813.32,15927.245
000042.SZ,20230707,7.66,7.79,7.65,7.71,7.69,0.019999999999999574,0.2601,39191.61,30230.942
000042.SZ,20230706,7.58,7.72,7.52,7.69,7.6,0.09000000000000075,1.1842,30364.0,23176.129
000042.SZ,20230705,7.5,7.69,7.47,7.6,7.54,0.05999999999999961,0.7958,35889.72,27301.772
000042.SZ,20230704,7.57,7.57,7.46,7.54,7.57,-0.03000000000000025,-0.3963,21198.0,15918.78
000042.SZ,20230703,7.44,7.62,7.44,7.57,7.48,0.08999999999999986,1.2032,26596.52,20112.444
000042.SZ,20230630,7.37,7.54,7.34,7.48,7.34,0.14000000000000057,1.9074,27144.82,20284.466
000042.SZ,20230629,7.4,7.42,7.28,7.34,7.45,-0.11000000000000032,-1.4765,22851.0,16765.142
000042.SZ,20230628,7.48,7.48,7.3,7.45,7.46,-0.009999999999999787,-0.134,27377.56,20264.7
000042.SZ,20230627,7.14,7.47,7.08,7.46,7.06,0.40000000000000036,5.6657,54530.52,40010.916
000042.SZ,20230626,7.18,7.19,7.05,7.06,7.19,-0.13000000000000078,-1.8081,41846.0,29734.024
000042.SZ,20230621,7.27,7.35,7.17,7.19,7.28,-0.08999999999999986,-1.2363,29649.0,21482.314
000042.SZ,20230620,7.4398,7.4398,7.26,7.28,7.4398,-0.15979999999999972,-2.1479,40405.4,29682.137
000042.SZ,20230619,7.6695,7.6695,7.4398,7.4398,7.7094,-0.2695999999999996,-3.497,43678.89,32837.456
000042.SZ,20230616,7.6994,7.8093,7.6894,7.7094,7.7194,-0.010000000000000675,-0.1295,28179.89,21840.121
000042.SZ,20230615,7.7294,7.7693,7.6795,7.7194,7.7194,0.0,0.0,29255.0,22596.055
000042.SZ,20230614,7.7494,7.8492,7.6894,7.7194,7.7394,-0.019999999999999574,-0.2584,31967.44,24848.1
000042.SZ,20230613,7.8492,7.9091,7.7394,7.7394,7.8293,-0.08990000000000009,-1.1483,32107.0,25050.624
000042.SZ,20230612,7.7793,7.8792,7.6695,7.8293,7.7893,0.040000000000000036,0.5135,35632.08,27821.378
000042.SZ,20230609,7.8892,7.9391,7.7594,7.7893,7.8892,-0.09989999999999988,-1.2663,50396.8,39519.902
000042.SZ,20230608,7.8193,7.9591,7.7394,7.8892,7.7793,0.10989999999999966,1.4127,59968.24,47302.36
000042.SZ,20230607,7.6894,7.8692,7.6795,7.7793,7.7094,0.06990000000000052,0.9067,44675.0,34840.772
000042.SZ,20230606,7.6096,7.8492,7.6096,7.7094,7.6795,0.029899999999999594,0.3893,52175.18,40601.882
000042.SZ,20230605,7.6994,7.6994,7.5996,7.6795,7.7094,-0.029899999999999594,-0.3878,30866.25,23616.707
000042.SZ,20230602,7.4797,7.7893,7.4298,7.7094,7.4298,0.2795999999999994,3.7632,56988.8,43594.266
000042.SZ,20230601,7.4997,7.4997,7.3899,7.4298,7.5297,-0.09989999999999988,-1.3267,25666.89,19139.169
000042.SZ,20230531,7.5796,7.6495,7.4997,7.5297,7.5796,-0.049900000000000055,-0.6583,18698.89,14157.225
000042.SZ,20230530,7.4697,7.5796,7.3699,7.5796,7.4997,0.0799000000000003,1.0654,33324.0,24879.444
000042.SZ,20230529,7.6096,7.6795,7.4697,7.4997,7.6295,-0.12980000000000036,-1.7013,23210.84,17596.002
000042.SZ,20230526,7.5696,7.6595,7.4098,7.6295,7.5796,0.049900000000000055,0.6583,29257.0,22098.592
000042.SZ,20230525,7.5796,7.6495,7.4598,7.5796,7.6195,-0.03990000000000027,-0.5237,26816.88,20305.062
000042.SZ,20230524,7.7494,7.7693,7.5996,7.6195,7.7693,-0.14979999999999993,-1.9281,31307.54,24021.565
000042.SZ,20230523,7.8193,7.8792,7.7494,7.7693,7.8193,-0.04999999999999982,-0.6394,30715.0,24019.739
000042.SZ,20230522,7.8692,7.8992,7.7594,7.8193,7.8692,-0.049900000000000055,-0.6341,23588.02,18454.399
000042.SZ,20230519,7.9591,7.989,7.8093,7.8692,7.989,-0.11979999999999968,-1.4996,28073.0,22125.661
000042.SZ,20230518,8.0589,8.1189,7.9591,7.989,8.0789,-0.08990000000000098,-1.1128,24873.52,19961.235
000042.SZ,20230517,8.0689,8.1888,8.049,8.0789,8.1288,-0.04989999999999917,-0.6139,27813.02,22543.213
000042.SZ,20230516,8.3386,8.3386,8.0789,8.1288,8.3086,-0.17980000000000018,-2.164,31090.0,25477.466
000042.SZ,20230515,8.4184,8.4284,8.1688,8.3086,8.4184,-0.1097999999999999,-1.3043,38129.41,31606.369
000042.SZ,20230512,8.4284,8.5083,8.3985,8.4184,8.4184,0.0,0.0,21228.63,17973.157
000042.SZ,20230511,8.3286,8.4684,8.2786,8.4184,8.2986,0.11979999999999968,1.4436,28161.49,23665.015
000042.SZ,20230510,8.4584,8.4584,8.2187,8.2986,8.3585,-0.059899999999998954,-0.7166,32101.86,26748.87
000042.SZ,20230509,8.4584,8.5383,8.3485,8.3585,8.4484,-0.08990000000000009,-1.0641,36370.77,30773.283
000042.SZ,20230508,8.4484,8.4684,8.2687,8.4484,8.4584,-0.009999999999999787,-0.1182,35291.83,29617.852
