ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000058.SZ,20230915,7.75,8.5,7.6,8.5,7.73,0.7699999999999996,9.9612,832457.13,678646.339
000058.SZ,20230914,8.27,8.54,7.68,7.73,7.94,-0.20999999999999996,-2.6448,1213692.67,992088.594
000058.SZ,20230913,7.11,7.94,7.05,7.94,7.22,0.7200000000000006,9.9723,670602.1,508704.515
000058.SZ,20230912,6.8,7.49,6.75,7.22,6.89,0.33000000000000007,4.7896,699475.64,504737.313
000058.SZ,20230911,7.02,7.03,6.76,6.89,7.11,-0.22000000000000064,-3.0942,443188.95,304476.495
000058.SZ,20230908,6.84,7.17,6.71,7.11,6.87,0.2400000000000002,3.4934,619789.03,433474.207
000058.SZ,20230907,7.33,7.59,6.84,6.87,7.05,-0.17999999999999972,-2.5532,819289.97,587828.624
000058.SZ,20230906,6.4,7.05,6.33,7.05,6.41,0.6399999999999997,9.9844,319979.33,220668.81
000058.SZ,20230905,6.45,6.5,6.39,6.41,6.49,-0.08000000000000007,-1.2327,77870.98,50059.658
000058.SZ,20230904,6.49,6.58,6.33,6.49,6.52,-0.02999999999999936,-0.4601,142038.06,91495.638
000058.SZ,20230901,6.6,6.68,6.46,6.52,6.58,-0.0600000000000005,-0.9119,117711.6,77202.921
000058.SZ,20230831,6.8,6.85,6.54,6.58,6.73,-0.15000000000000036,-2.2288,147615.99,98040.942
000058.SZ,20230830,6.8,6.88,6.66,6.73,6.95,-0.21999999999999975,-3.1655,187155.0,125891.856
000058.SZ,20230829,6.54,7.04,6.49,6.95,6.56,0.39000000000000057,5.9451,217582.08,148555.072
000058.SZ,20230828,6.7,6.78,6.54,6.56,6.33,0.22999999999999954,3.6335,112985.0,75025.822
000058.SZ,20230825,6.38,6.47,6.3,6.33,6.4,-0.07000000000000028,-1.0938,65026.63,41458.14
000058.SZ,20230824,6.41,6.5,6.36,6.4,6.41,-0.009999999999999787,-0.156,51302.56,32958.148
000058.SZ,20230823,6.48,6.54,6.4,6.41,6.5,-0.08999999999999986,-1.3846,50484.46,32573.712
000058.SZ,20230822,6.45,6.54,6.38,6.5,6.46,0.040000000000000036,0.6192,51596.0,33313.082
000058.SZ,20230821,6.5,6.63,6.46,6.46,6.54,-0.08000000000000007,-1.2232,57413.0,37524.384
000058.SZ,20230818,6.76,6.79,6.53,6.54,6.77,-0.22999999999999954,-3.3973,67046.0,44549.483
000058.SZ,20230817,6.66,6.78,6.58,6.77,6.7,0.0699999999999994,1.0448,86016.52,57711.892
000058.SZ,20230816,6.61,6.78,6.55,6.7,6.65,0.04999999999999982,0.7519,65627.0,43940.489
000058.SZ,20230815,6.58,6.73,6.58,6.65,6.61,0.040000000000000036,0.6051,78311.0,52160.781
000058.SZ,20230814,6.53,6.62,6.45,6.61,6.59,0.020000000000000462,0.3035,72462.95,47421.279
000058.SZ,20230811,6.73,6.79,6.57,6.59,6.65,-0.0600000000000005,-0.9023,83586.62,55589.188
000058.SZ,20230810,6.61,6.74,6.6,6.65,6.63,0.020000000000000462,0.3017,48221.0,32142.677
000058.SZ,20230809,6.71,6.73,6.59,6.63,6.7,-0.07000000000000028,-1.0448,52149.0,34660.421
