ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000034.SZ,20230915,29.16,29.25,27.91,28.05,29.07,-1.0199999999999996,-3.5088,237434.86,671628.245
000034.SZ,20230914,29.22,29.7,28.82,29.07,29.35,-0.28000000000000114,-0.954,167683.82,490422.811
000034.SZ,20230913,30.8,30.85,29.18,29.35,31.06,-1.7099999999999973,-5.5055,261754.23,777422.674
000034.SZ,20230912,30.0,31.77,29.99,31.06,29.83,1.2300000000000004,4.1234,358470.86,1115784.798
000034.SZ,20230911,30.2,30.58,29.27,29.83,30.48,-0.6500000000000021,-2.1325,276562.18,824383.053
000034.SZ,20230908,29.0,31.63,28.89,30.48,29.14,1.3399999999999999,4.5985,333013.59,1007056.98
000034.SZ,20230907,29.16,30.38,29.03,29.14,29.17,-0.030000000000001137,-0.1028,270966.62,802186.177
000034.SZ,20230906,29.75,29.9,28.3,29.17,29.51,-0.33999999999999986,-1.1522,305868.9,889093.659
000034.SZ,20230905,32.26,33.25,29.24,29.51,32.2,-2.6900000000000013,-8.354,554385.24,1723631.986
000034.SZ,20230904,31.12,32.22,30.61,32.2,30.95,1.2500000000000036,4.0388,321238.17,1003367.425
000034.SZ,20230901,31.65,31.97,30.51,30.95,31.78,-0.8300000000000018,-2.6117,193773.46,603592.34
000034.SZ,20230831,32.45,32.46,31.3,31.78,32.87,-1.0899999999999963,-3.3161,358165.04,1140568.106
000034.SZ,20230830,30.59,33.52,30.44,32.87,30.47,2.3999999999999986,7.8766,590582.66,1933777.888
000034.SZ,20230829,28.8,30.8,28.68,30.47,28.94,1.5299999999999976,5.2868,301225.91,900186.351
000034.SZ,20230828,30.42,30.42,28.8,28.94,28.6,0.33999999999999986,1.1888,239062.02,699897.228
000034.SZ,20230825,29.26,29.88,28.36,28.6,29.78,-1.1799999999999997,-3.9624,244344.27,707012.73
000034.SZ,20230824,31.2,31.48,29.59,29.78,30.73,-0.9499999999999993,-3.0914,316462.62,953008.4
000034.SZ,20230823,29.8,32.0,29.79,30.73,30.33,0.40000000000000213,1.3188,471879.24,1463607.49
000034.SZ,20230822,30.03,30.8,29.05,30.33,29.51,0.8199999999999967,2.7787,434214.93,1294767.54
000034.SZ,20230821,28.0,30.45,28.0,29.51,27.85,1.6600000000000001,5.9605,409022.0,1214730.21
000034.SZ,20230818,28.8,29.48,27.8,27.85,28.8,-0.9499999999999993,-3.2986,202520.53,575457.611
000034.SZ,20230817,28.41,29.25,27.92,28.8,28.42,0.379999999999999,1.3371,212959.98,613566.878
000034.SZ,20230816,28.85,29.05,28.23,28.42,29.02,-0.5999999999999979,-2.0675,170618.07,488477.248
000034.SZ,20230815,29.68,29.96,28.57,29.02,29.79,-0.7699999999999996,-2.5848,246178.96,718884.238
000034.SZ,20230814,28.02,30.15,27.9,29.79,28.27,1.5199999999999996,5.3767,402232.86,1184246.371
000034.SZ,20230811,28.12,29.52,28.12,28.27,28.07,0.1999999999999993,0.7125,240366.61,692932.033
000034.SZ,20230810,28.5,28.7,27.85,28.07,28.43,-0.35999999999999943,-1.2663,180296.75,507612.611
000034.SZ,20230809,28.2,29.69,27.96,28.43,27.48,0.9499999999999993,3.4571,547489.3,1580112.881
000034.SZ,20230808,27.5,27.8,27.3,27.48,27.6,-0.120000000000001,-0.4348,173352.03,478026.118
000034.SZ,20230807,26.19,27.99,25.99,27.6,25.99,1.610000000000003,6.1947,390957.93,1070759.631
000034.SZ,20230804,24.96,26.18,24.96,25.99,25.0,0.9899999999999984,3.96,197238.21,507223.115
000034.SZ,20230803,25.2,25.28,24.86,25.0,25.32,-0.3200000000000003,-1.2638,96432.63,241271.315
000034.SZ,20230802,25.51,25.55,25.06,25.32,25.53,-0.21000000000000085,-0.8226,62197.48,157502.186
000034.SZ,20230801,25.11,25.67,24.92,25.53,25.15,0.38000000000000256,1.5109,106467.62,270506.851
000034.SZ,20230731,24.8,25.47,24.58,25.15,25.22,-0.07000000000000028,-0.2776,106983.76,268549.33
000034.SZ,20230728,25.0,25.68,24.86,25.22,24.77,0.4499999999999993,1.8167,116333.48,294686.176
000034.SZ,20230727,25.07,25.3,24.73,24.77,25.07,-0.3000000000000007,-1.1966,71692.26,178968.569
000034.SZ,20230726,25.76,25.76,24.98,25.07,25.78,-0.7100000000000009,-2.7541,102269.45,257603.16
000034.SZ,20230725,25.9,26.03,25.5,25.78,25.74,0.0400000000000027,0.1554,116949.75,300991.711
000034.SZ,20230724,25.04,26.25,24.98,25.74,25.04,0.6999999999999993,2.7955,128714.91,331636.797
000034.SZ,20230721,25.36,25.66,24.92,25.04,25.52,-0.4800000000000004,-1.8809,94821.28,239330.02
