ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000056.SZ,20230915,3.23,3.26,3.22,3.24,3.24,0.0,0.0,88278.0,28561.646
000056.SZ,20230914,3.31,3.32,3.21,3.24,3.32,-0.07999999999999963,-2.4096,205844.0,66928.47
000056.SZ,20230913,3.39,3.39,3.31,3.32,3.39,-0.07000000000000028,-2.0649,171643.0,57323.662
000056.SZ,20230912,3.37,3.43,3.35,3.39,3.37,0.020000000000000018,0.5935,128252.0,43446.13
000056.SZ,20230911,3.41,3.42,3.33,3.37,3.43,-0.06000000000000005,-1.7493,211924.72,71505.713
000056.SZ,20230908,3.61,3.64,3.41,3.43,3.61,-0.17999999999999972,-4.9861,358989.0,124004.668
000056.SZ,20230907,3.51,3.91,3.47,3.61,3.55,0.06000000000000005,1.6901,688669.68,251641.336
000056.SZ,20230906,3.39,3.67,3.36,3.55,3.41,0.13999999999999968,4.1056,346354.72,121622.186
000056.SZ,20230905,3.46,3.47,3.38,3.41,3.48,-0.06999999999999984,-2.0115,157399.0,53608.612
000056.SZ,20230904,3.41,3.53,3.41,3.48,3.4,0.08000000000000007,2.3529,186351.0,64738.303
000056.SZ,20230901,3.51,3.53,3.39,3.4,3.49,-0.0900000000000003,-2.5788,164416.0,56442.469
000056.SZ,20230831,3.63,3.65,3.47,3.49,3.62,-0.1299999999999999,-3.5912,146743.0,51608.157
000056.SZ,20230830,3.74,3.74,3.61,3.62,3.67,-0.04999999999999982,-1.3624,125093.0,45527.63
000056.SZ,20230829,3.52,3.69,3.48,3.67,3.52,0.1499999999999999,4.2614,206201.12,74352.219
000056.SZ,20230828,3.68,3.68,3.5,3.52,3.42,0.10000000000000009,2.924,213058.3,75938.654
000056.SZ,20230825,3.47,3.51,3.4,3.42,3.49,-0.07000000000000028,-2.0057,112583.96,38911.135
000056.SZ,20230824,3.52,3.55,3.46,3.49,3.51,-0.019999999999999574,-0.5698,81317.0,28455.152
000056.SZ,20230823,3.6,3.62,3.51,3.51,3.62,-0.11000000000000032,-3.0387,107271.0,38159.747
000056.SZ,20230822,3.59,3.63,3.5,3.62,3.59,0.03000000000000025,0.8357,157153.0,56034.708
000056.SZ,20230821,3.62,3.69,3.58,3.59,3.65,-0.06000000000000005,-1.6438,108521.13,39334.844
000056.SZ,20230818,3.79,3.81,3.65,3.65,3.79,-0.14000000000000012,-3.6939,133872.0,49761.529
000056.SZ,20230817,3.79,3.8,3.72,3.79,3.78,0.010000000000000231,0.2646,92423.0,34759.262
000056.SZ,20230816,3.73,3.86,3.72,3.78,3.75,0.029999999999999805,0.8,109886.0,41641.266
000056.SZ,20230815,3.83,3.84,3.72,3.75,3.83,-0.08000000000000007,-2.0888,136400.41,51214.168
000056.SZ,20230814,3.83,3.88,3.79,3.83,3.9,-0.06999999999999984,-1.7949,125131.0,47927.821
000056.SZ,20230811,3.95,4.01,3.89,3.9,3.92,-0.020000000000000018,-0.5102,182032.0,71979.522
000056.SZ,20230810,3.87,3.97,3.87,3.92,3.89,0.029999999999999805,0.7712,99703.87,39047.21
000056.SZ,20230809,3.93,3.96,3.87,3.89,3.94,-0.04999999999999982,-1.269,130414.87,50886.671
000056.SZ,20230808,4.03,4.03,3.9,3.94,4.0,-0.06000000000000005,-1.5,208313.0,82084.772
000056.SZ,20230807,4.07,4.08,3.97,4.0,4.08,-0.08000000000000007,-1.9608,234799.0,94124.707
000056.SZ,20230804,4.21,4.25,4.07,4.08,4.16,-0.08000000000000007,-1.9231,305794.0,126227.202
000056.SZ,20230803,4.07,4.18,4.04,4.16,4.11,0.04999999999999982,1.2165,293030.0,120578.801
000056.SZ,20230802,4.1,4.26,4.05,4.11,4.09,0.020000000000000462,0.489,362825.53,150969.298
000056.SZ,20230801,4.14,4.17,4.06,4.09,4.15,-0.0600000000000005,-1.4458,325749.02,133900.628
000056.SZ,20230731,4.09,4.19,4.03,4.15,4.07,0.08000000000000007,1.9656,391444.02,162181.089
000056.SZ,20230728,4.04,4.15,4.01,4.07,4.03,0.040000000000000036,0.9926,391090.0,159342.619
000056.SZ,20230727,3.97,4.15,3.94,4.03,4.07,-0.040000000000000036,-0.9828,545755.92,221647.422
000056.SZ,20230726,4.02,4.15,3.95,4.07,4.01,0.0600000000000005,1.4963,661728.94,269026.529
000056.SZ,20230725,3.86,4.05,3.86,4.01,3.86,0.1499999999999999,3.886,594297.42,236557.793
000056.SZ,20230724,3.9,3.95,3.75,3.86,3.9,-0.040000000000000036,-1.0256,670693.24,257938.508
000056.SZ,20230721,3.74,4.09,3.73,3.9,3.72,0.17999999999999972,4.8387,909382.76,365287.664
000056.SZ,20230720,3.68,3.77,3.68,3.72,3.7,0.020000000000000018,0.5405,124739.06,46631.836
000056.SZ,20230719,3.65,3.71,3.63,3.7,3.65,0.050000000000000266,1.3699,91531.0,33662.762
000056.SZ,20230718,3.68,3.69,3.62,3.65,3.66,-0.010000000000000231,-0.2732,78697.0,28770.261
000056.SZ,20230717,3.65,3.7,3.55,3.66,3.69,-0.029999999999999805,-0.813,95896.48,34920.718
000056.SZ,20230714,3.68,3.72,3.66,3.69,3.68,0.009999999999999787,0.2717,70793.86,26138.459
000056.SZ,20230713,3.68,3.71,3.66,3.68,3.68,0.0,0.0,83520.0,30746.761
000056.SZ,20230712,3.74,3.74,3.64,3.68,3.75,-0.06999999999999984,-1.8667,125160.11,46155.988
000056.SZ,20230711,3.8,3.82,3.71,3.75,3.79,-0.040000000000000036,-1.0554,113390.74,42603.251
000056.SZ,20230710,3.73,3.85,3.72,3.79,3.73,0.06000000000000005,1.6086,141545.0,53558.568
000056.SZ,20230707,3.74,3.85,3.72,3.73,3.76,-0.029999999999999805,-0.7979,157478.0,59182.524
000056.SZ,20230706,3.71,3.76,3.68,3.76,3.71,0.04999999999999982,1.3477,110569.0,41296.328
000056.SZ,20230705,3.73,3.79,3.69,3.71,3.75,-0.040000000000000036,-1.0667,123985.0,46364.47
000056.SZ,20230704,3.83,3.86,3.73,3.75,3.84,-0.08999999999999986,-2.3437,206901.99,77959.024
000056.SZ,20230703,3.85,3.91,3.81,3.84,3.89,-0.050000000000000266,-1.2853,218368.24,84236.865
000056.SZ,20230630,3.82,3.91,3.82,3.89,3.82,0.07000000000000028,1.8325,122111.66,47408.84
000056.SZ,20230629,3.79,3.88,3.78,3.82,3.81,0.009999999999999787,0.2625,111462.99,42686.951
000056.SZ,20230628,3.92,3.95,3.75,3.81,3.92,-0.10999999999999988,-2.8061,160922.82,61369.658
000056.SZ,20230627,3.82,3.94,3.75,3.92,3.8,0.1200000000000001,3.1579,141038.0,54591.832
000056.SZ,20230626,3.87,4.04,3.8,3.8,3.88,-0.08000000000000007,-2.0619,237825.21,92278.903
000056.SZ,20230621,4.02,4.11,3.87,3.88,4.05,-0.16999999999999993,-4.1975,230393.11,91507.769
000056.SZ,20230620,4.08,4.11,4.03,4.05,4.08,-0.03000000000000025,-0.7353,173207.4,70385.883
000056.SZ,20230619,4.08,4.19,4.03,4.08,4.09,-0.009999999999999787,-0.2445,346093.78,142095.97
000056.SZ,20230616,3.98,4.35,3.9,4.09,4.19,-0.10000000000000053,-2.3866,625023.42,258575.766
000056.SZ,20230615,3.75,4.19,3.71,4.19,3.81,0.38000000000000034,9.9738,486751.9,192215.532
000056.SZ,20230614,3.75,3.85,3.66,3.81,3.71,0.10000000000000009,2.6954,173090.0,64762.933
000056.SZ,20230613,3.8,3.92,3.71,3.71,3.71,0.0,0.0,198114.24,74742.446
000056.SZ,20230612,3.63,3.75,3.58,3.71,3.63,0.08000000000000007,2.2039,149078.54,54962.175
000056.SZ,20230609,3.59,3.64,3.56,3.63,3.63,0.0,0.0,110537.0,39823.076
000056.SZ,20230608,3.62,3.65,3.55,3.63,3.59,0.040000000000000036,1.1142,133605.0,48203.838
000056.SZ,20230607,3.57,3.79,3.57,3.59,3.57,0.020000000000000018,0.5602,318979.0,116700.011
000056.SZ,20230606,3.68,3.71,3.56,3.57,3.68,-0.11000000000000032,-2.9891,108121.0,39144.79
000056.SZ,20230605,3.7,3.74,3.66,3.68,3.71,-0.029999999999999805,-0.8086,79242.0,29299.445
000056.SZ,20230602,3.62,3.73,3.58,3.71,3.56,0.1499999999999999,4.2135,187654.0,68752.192
000056.SZ,20230601,3.59,3.63,3.53,3.56,3.57,-0.009999999999999787,-0.2801,142379.98,51241.337
000056.SZ,20230531,3.63,3.65,3.55,3.57,3.64,-0.07000000000000028,-1.9231,162935.0,58616.99
000056.SZ,20230530,3.74,3.76,3.58,3.64,3.73,-0.08999999999999986,-2.4129,173888.78,63370.552
000056.SZ,20230529,3.83,3.83,3.72,3.73,3.83,-0.10000000000000009,-2.611,113481.0,42659.605
