ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000019.SZ,20230915,7.36,7.4,7.3,7.37,7.34,0.03000000000000025,0.4087,27821.07,20494.419
000019.SZ,20230914,7.35,7.35,7.3,7.34,7.35,-0.009999999999999787,-0.1361,25122.82,18417.734
000019.SZ,20230913,7.41,7.42,7.3,7.35,7.42,-0.07000000000000028,-0.9434,25164.07,18505.539
000019.SZ,20230912,7.37,7.44,7.36,7.42,7.39,0.03000000000000025,0.406,32416.7,24018.59
000019.SZ,20230911,7.32,7.4,7.3,7.39,7.33,0.05999999999999961,0.8186,33256.16,24501.043
000019.SZ,20230908,7.3,7.35,7.26,7.33,7.32,0.009999999999999787,0.1366,28635.2,20890.854
000019.SZ,20230907,7.39,7.42,7.31,7.32,7.4,-0.08000000000000007,-1.0811,33202.2,24436.105
000019.SZ,20230906,7.36,7.4,7.3,7.4,7.35,0.05000000000000071,0.6803,30036.43,22118.4
000019.SZ,20230905,7.39,7.39,7.33,7.35,7.39,-0.040000000000000036,-0.5413,32333.37,23764.501
000019.SZ,20230904,7.29,7.4,7.29,7.39,7.29,0.09999999999999964,1.3717,45315.2,33365.973
000019.SZ,20230901,7.25,7.32,7.24,7.29,7.24,0.04999999999999982,0.6906,31160.7,22701.767
000019.SZ,20230831,7.37,7.37,7.22,7.24,7.36,-0.1200000000000001,-1.6304,56750.94,41163.199
000019.SZ,20230830,7.45,7.47,7.33,7.36,7.47,-0.10999999999999943,-1.4726,79064.59,58472.809
000019.SZ,20230829,7.42,7.49,7.35,7.47,7.45,0.019999999999999574,0.2685,97274.92,72252.353
000019.SZ,20230828,7.58,7.66,7.43,7.45,7.33,0.1200000000000001,1.6371,138801.67,105036.251
000019.SZ,20230825,7.37,7.49,7.31,7.33,7.38,-0.04999999999999982,-0.6775,53157.82,39355.168
000019.SZ,20230824,7.31,7.42,7.24,7.38,7.3,0.08000000000000007,1.0959,50538.0,37110.558
000019.SZ,20230823,7.32,7.39,7.26,7.3,7.34,-0.040000000000000036,-0.545,45344.82,33203.51
000019.SZ,20230822,7.36,7.4,7.24,7.34,7.34,0.0,0.0,59763.7,43692.366
000019.SZ,20230821,7.4,7.47,7.34,7.34,7.39,-0.04999999999999982,-0.6766,42549.3,31462.177
000019.SZ,20230818,7.51,7.53,7.38,7.39,7.53,-0.14000000000000057,-1.8592,55670.22,41469.725
000019.SZ,20230817,7.48,7.55,7.35,7.53,7.51,0.020000000000000462,0.2663,56694.37,42273.12
000019.SZ,20230816,7.48,7.56,7.44,7.51,7.52,-0.009999999999999787,-0.133,39802.27,29846.286
000019.SZ,20230815,7.57,7.58,7.45,7.52,7.57,-0.05000000000000071,-0.6605,57892.4,43499.166
000019.SZ,20230814,7.62,7.65,7.5,7.57,7.7,-0.1299999999999999,-1.6883,79489.6,60050.529
000019.SZ,20230811,7.86,7.94,7.69,7.7,7.94,-0.2400000000000002,-3.0227,114797.45,89273.639
000019.SZ,20230810,7.92,8.05,7.83,7.94,7.91,0.03000000000000025,0.3793,95579.38,75864.671
000019.SZ,20230809,7.99,8.0,7.88,7.91,8.05,-0.14000000000000057,-1.7391,89121.12,70685.663
000019.SZ,20230808,8.13,8.18,7.94,8.05,8.11,-0.05999999999999872,-0.7398,170356.68,137100.626
000019.SZ,20230807,8.0,8.23,7.93,8.11,7.83,0.27999999999999936,3.576,304414.42,246479.559
000019.SZ,20230804,7.91,7.93,7.81,7.83,7.9,-0.07000000000000028,-0.8861,103568.84,81496.557
000019.SZ,20230803,7.87,7.91,7.81,7.9,7.84,0.0600000000000005,0.7653,94718.75,74504.179
000019.SZ,20230802,7.88,7.92,7.81,7.84,7.93,-0.08999999999999986,-1.1349,92855.2,72935.661
000019.SZ,20230801,8.12,8.15,7.89,7.93,8.15,-0.22000000000000064,-2.6994,153170.4,122129.801
000019.SZ,20230731,8.0,8.25,7.99,8.15,7.78,0.3700000000000001,4.7558,306423.04,248727.986
000019.SZ,20230728,7.7,7.8,7.7,7.78,7.76,0.020000000000000462,0.2577,72626.42,56333.889
000019.SZ,20230727,7.74,7.83,7.7,7.76,7.78,-0.020000000000000462,-0.2571,87156.29,67599.161
000019.SZ,20230726,7.67,7.78,7.62,7.78,7.67,0.11000000000000032,1.4342,108846.11,84089.739
000019.SZ,20230725,7.63,7.72,7.61,7.67,7.61,0.05999999999999961,0.7884,92635.06,70876.276
000019.SZ,20230724,7.75,7.76,7.56,7.61,7.79,-0.17999999999999972,-2.3107,150741.7,114927.036
000019.SZ,20230721,7.68,7.92,7.66,7.79,7.63,0.16000000000000014,2.097,191405.52,149657.125
000019.SZ,20230720,7.69,7.73,7.61,7.63,7.65,-0.020000000000000462,-0.2614,47314.12,36295.786
000019.SZ,20230719,7.66,7.73,7.63,7.65,7.69,-0.040000000000000036,-0.5202,40499.1,31086.883
