ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000059.SZ,20230915,6.23,6.25,6.12,6.13,6.17,-0.040000000000000036,-0.6483,71751.0,44211.884
000059.SZ,20230914,6.14,6.25,6.12,6.17,6.17,0.0,0.0,116454.5,71894.806
000059.SZ,20230913,6.08,6.29,6.08,6.17,6.1,0.07000000000000028,1.1475,170720.29,105807.629
000059.SZ,20230912,6.01,6.12,6.01,6.1,6.03,0.0699999999999994,1.1609,84976.0,51633.178
000059.SZ,20230911,6.02,6.1,6.0,6.03,6.03,0.0,0.0,103592.0,62634.38
000059.SZ,20230908,6.06,6.1,6.02,6.03,6.08,-0.04999999999999982,-0.8224,58269.0,35222.134
000059.SZ,20230907,6.18,6.21,6.08,6.08,6.18,-0.09999999999999964,-1.6181,71418.0,43778.904
000059.SZ,20230906,6.18,6.2,6.12,6.18,6.16,0.019999999999999574,0.3247,66470.58,40960.013
000059.SZ,20230905,6.26,6.27,6.12,6.16,6.25,-0.08999999999999986,-1.44,136580.05,84250.788
000059.SZ,20230904,5.93,6.31,5.93,6.25,5.89,0.3600000000000003,6.1121,335269.06,206976.672
000059.SZ,20230901,5.77,5.92,5.75,5.89,5.73,0.15999999999999925,2.7923,144004.8,84421.532
000059.SZ,20230831,5.81,5.86,5.72,5.73,5.78,-0.04999999999999982,-0.8651,130373.63,75368.747
000059.SZ,20230830,5.97,5.98,5.78,5.78,5.96,-0.17999999999999972,-3.0201,211743.39,123792.453
000059.SZ,20230829,6.05,6.09,5.94,5.96,6.04,-0.08000000000000007,-1.3245,142571.95,85639.14
000059.SZ,20230828,6.11,6.22,6.01,6.04,5.88,0.16000000000000014,2.7211,144432.0,88175.446
000059.SZ,20230825,5.93,6.02,5.75,5.88,5.95,-0.07000000000000028,-1.1765,104033.52,61395.803
000059.SZ,20230824,6.0,6.08,5.95,5.95,6.01,-0.05999999999999961,-0.9983,94822.5,56749.471
000059.SZ,20230823,6.04,6.1,6.01,6.01,6.05,-0.040000000000000036,-0.6612,68260.88,41317.271
000059.SZ,20230822,6.06,6.09,5.98,6.05,6.05,0.0,0.0,70675.52,42663.106
000059.SZ,20230821,6.09,6.16,6.03,6.05,6.08,-0.03000000000000025,-0.4934,77135.17,46834.053
000059.SZ,20230818,6.21,6.25,6.08,6.08,6.22,-0.13999999999999968,-2.2508,91677.0,56287.301
000059.SZ,20230817,6.16,6.23,6.12,6.22,6.18,0.040000000000000036,0.6472,78918.0,48729.481
