ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000060.SZ,20230915,5.48,5.54,5.42,5.45,5.46,-0.009999999999999787,-0.1832,383782.85,209918.409
000060.SZ,20230914,5.41,5.5,5.4,5.46,5.43,0.03000000000000025,0.5525,319063.41,174102.475
000060.SZ,20230913,5.41,5.54,5.39,5.43,5.43,0.0,0.0,431215.52,234679.368
000060.SZ,20230912,5.47,5.54,5.4,5.43,5.47,-0.040000000000000036,-0.7313,322978.02,176171.166
000060.SZ,20230911,5.35,5.5,5.32,5.47,5.35,0.1200000000000001,2.243,496609.54,270064.839
000060.SZ,20230908,5.32,5.38,5.26,5.35,5.32,0.02999999999999936,0.5639,248309.0,132100.948
000060.SZ,20230907,5.42,5.43,5.3,5.32,5.44,-0.1200000000000001,-2.2059,285935.28,153001.888
000060.SZ,20230906,5.42,5.5,5.34,5.44,5.44,0.0,0.0,374869.97,203112.72
000060.SZ,20230905,5.43,5.46,5.34,5.44,5.47,-0.02999999999999936,-0.5484,513331.3,277468.546
000060.SZ,20230904,5.17,5.55,5.17,5.47,5.17,0.2999999999999998,5.8027,1050143.67,569092.41
000060.SZ,20230901,4.99,5.19,4.99,5.17,4.99,0.17999999999999972,3.6072,613726.32,313866.796
000060.SZ,20230831,5.09,5.13,4.98,4.99,5.09,-0.09999999999999964,-1.9646,540380.06,271986.494
000060.SZ,20230830,5.18,5.22,5.06,5.09,5.24,-0.15000000000000036,-2.8626,717631.72,367463.073
000060.SZ,20230829,5.28,5.31,5.21,5.24,5.3,-0.05999999999999961,-1.1321,482987.92,253842.746
000060.SZ,20230828,5.45,5.48,5.23,5.3,5.18,0.1200000000000001,2.3166,631783.75,335619.42
000060.SZ,20230825,5.26,5.28,5.13,5.18,5.27,-0.08999999999999986,-1.7078,332385.82,172718.688
000060.SZ,20230824,5.25,5.33,5.19,5.27,5.22,0.04999999999999982,0.9579,363965.77,191557.576
000060.SZ,20230823,5.35,5.37,5.2,5.22,5.36,-0.14000000000000057,-2.6119,290484.06,152673.23
000060.SZ,20230822,5.3,5.38,5.23,5.36,5.3,0.0600000000000005,1.1321,448601.69,238266.482
000060.SZ,20230821,5.32,5.39,5.28,5.3,5.32,-0.020000000000000462,-0.3759,279702.32,149451.058
000060.SZ,20230818,5.42,5.46,5.32,5.32,5.39,-0.0699999999999994,-1.2987,263417.75,142067.991
000060.SZ,20230817,5.4,5.41,5.27,5.39,5.39,0.0,0.0,424127.67,226722.501
000060.SZ,20230816,5.43,5.47,5.35,5.39,5.45,-0.0600000000000005,-1.1009,280373.66,151320.526
000060.SZ,20230815,5.46,5.54,5.4,5.45,5.46,-0.009999999999999787,-0.1832,412980.48,225570.325
000060.SZ,20230814,5.44,5.52,5.39,5.46,5.48,-0.020000000000000462,-0.365,351561.19,191610.361
000060.SZ,20230811,5.63,5.65,5.47,5.48,5.6,-0.11999999999999922,-2.1429,405857.14,225156.243
000060.SZ,20230810,5.64,5.68,5.55,5.6,5.65,-0.05000000000000071,-0.885,437161.37,244361.856
000060.SZ,20230809,5.68,5.75,5.63,5.65,5.82,-0.16999999999999993,-2.921,613442.05,347609.505
